model,trainable parameters,training duration total,training duration per epoch,epochs,test mean squared error
ode_lstm,30417,1574.8480489253998,29.163852757877773,54,1.0836970806121826
memory_augmented_transformer,19074,8048.764883995056,178.86144186655682,45,1.1607143878936768
ct_rnn,21009,7087.483220338821,122.19798655756588,58,1.2180176973342896
differentiable_neural_computer,29910,4989.873981714249,101.83416289212752,49,1.2990599870681765
gru,25137,603.1270196437836,14.026209759157757,43,1.3660845756530762
lstm,22097,734.8894350528717,14.132489135632149,52,1.4071155786514282
ct_gru,27761,1129.6645336151123,32.27612953186035,35,1.550842523574829
matrix_exponential_unitary_rnn,25361,6838.959409475327,71.23916051536798,96,1.55735182762146
unitary_rnn,8833,8623.199968099594,172.46399936199188,50,1.651777982711792
transformer,22657,1381.3788769245148,19.45604052006359,71,1.7733571529388428
recurrent_network_attention_transformer,2741,6026.4552891254425,167.40153580904007,36,2.229675769805908
recurrent_network_augmented_transformer,4121,5819.750466823578,92.3769915368822,63,2.247260808944702
unitary_ncp,7149,7050.075877189636,163.95525295789852,43,3.639019966125488
neural_circuit_policies,6767,7960.169676780701,173.04716688653698,46,4.993057727813721
