model,trainable parameters,training duration total,training duration per epoch,epochs,test sparse categorical crossentropy,test sparse categorical accuracy
unitary_rnn,3834,3915.202800512314,279.6573428937367,14,9.879500430542976e-05,1.0
recurrent_network_augmented_transformer,3874,5062.556255578995,194.71370213765368,26,0.0002127038314938,1.0
recurrent_network_attention_transformer,2494,8328.896621465683,320.3421777486801,26,0.0002142823213944,1.0
transformer,22170,841.9132058620453,32.38127714854021,26,0.000236568856053,1.0
differentiable_neural_computer,25247,2815.5272896289825,156.4181827571657,18,0.0002992872905451,1.0
gru,20730,407.4654262065888,20.37327131032944,20,0.0004241331771481,1.0
matrix_exponential_unitary_rnn,19466,13704.588815450668,107.06710012070836,128,0.0509102419018745,1.0
ct_gru,18826,574.3234248161316,47.8602854013443,12,0.1507138609886169,0.8996976017951965
unitary_ncp,3990,1588.2808980941772,176.47565534379748,9,0.5953732132911682,1.0
memory_augmented_transformer,18331,3225.5440039634705,293.23127308758825,11,2.3025994300842285,0.1038306429982185
neural_circuit_policies,2908,1570.4548845291138,224.3506977898734,7,2.302673578262329,0.1020665317773819
ct_rnn,18058,2965.944972753525,197.729664850235,15,2.3028581142425537,0.1023185476660728
ode_lstm,25866,478.18169260025024,43.47106296365912,11,2.30315899848938,0.1053427383303642
lstm,17546,200.4361560344696,20.04361560344696,10,2.3032925128936768,0.0917338728904724
